id,tweet_id,text,actual_intent,predicted_intent,intent_confidence,actual_escalate,predicted_escalate,escalation_reason,actual_escalation_reason,retrieval_score,draft_reply
177,2057522,@AppleSupport how many times can I uninstall and reinstall Pages before I can save a document? Only time will tell. Stay tuned.,apps,other,0.5457876175826372,yes,no,,repeated_troubleshooting_failed,0.9790481356137968,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
182,1395068,.\@115858 @116333 @AppleSupport Over 12 h still waiting for supervisor to call back. #IphoneXPreOrder #fail #CUSTOMERSERVICEFAIL,other,other,0.7382361036781392,yes,yes,purchase_or_compensation_issue,unresolved_support_issue,0.9622476934780841,Thanks for reaching out. We recommend contacting Apple Support directly because the issue may require additional support. They can take a closer look and provide the appropriate next steps.
90,1565131,@AppleSupport why is this symbol appearing on everything :/ https://t.co/LZJlG0Qd9O,other,other,0.8395501091769599,no,no,,,0.8604486917305196,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
9,199399,@AppleSupport Backup and updated. Problem still persists. Got a video of the issue now.,other,ios_update,0.5985272184603413,yes,yes,repeated_troubleshooting_failed,repeated_troubleshooting_failed,0.9629036771387277,Thanks for reaching out. We recommend contacting Apple Support directly because the issue has persisted after troubleshooting. They can take a closer look and provide the appropriate next steps.
14,2002510,@AppleSupport Thanks for dummy update on ios 11! I used my 6S without any problem during 2 years. After ios 11 everything started to fail!!!,ios_update,ios_update,0.9528906134779497,yes,no,,broad_update_related_failure,0.3107837028634994,"Thanks for reaching out. Please let us know what happens when you try to install or use the iOS update, including any error message you see and your iPhone model. That will help us determine the appropriate next troubleshooting step."
60,2439714,@AppleSupport how much is it for an iPhone 7 glass screen? Struggling to find anything and I’m not wanting to book in the repair. Had this modern phone two weeks and it’s shattered off one little fall. 😔 #disappointed,screen_display,screen_display,0.7342721793084566,yes,yes,hardware_or_repair_issue,hardware_or_repair_issue,0.2995799915129464,Thanks for reaching out. We recommend contacting Apple Support directly because this may require hardware service. They can take a closer look and provide the appropriate next steps.
172,557757,"@AppleSupport never mind, there is general #Lag in iOS 11.2 ❗️",device_performance,device_performance,0.8487481615774701,no,no,,,0.940662588547848,"Thanks for reaching out. Could you tell us whether the iPhone is slow, freezing, crashing, or becoming unresponsive? Please also share your iPhone model and iOS version so we can narrow down the issue."
132,2047824,@AppleSupport This all started after the 11.0.1 update,ios_update,ios_update,0.8333816821848337,no,no,,,0.4153106962630144,"Thanks for reaching out. Please let us know what happens when you try to install or use the iOS update, including any error message you see and your iPhone model. That will help us determine the appropriate next troubleshooting step."
18,1804872,@542303 @AppleSupport It takes forever to charge now.,battery_charging,battery_charging,0.9512213262023137,no,no,,,0.9399606339772248,"Thanks for reaching out. Since the battery drain started after the iOS update, please check your Battery settings to see which apps or activity are using the most power. If the issue continues, let us know your iPhone model and iOS version so we can narrow down the issue."
73,879323,"To heck with this new Apple update, my battery dies so fast now and my 6+ is only a year old!! @115858 @AppleSupport",battery_charging,battery_charging,0.9944165795743267,no,no,,,0.4675546147881873,"Thanks for reaching out. Since the battery drain started after the iOS update, please check your Battery settings to see which apps or activity are using the most power. If the issue continues, let us know your iPhone model and iOS version so we can narrow down the issue."
176,2068308,"@AppleSupport The display (original) often does not work anymore, it does not even allow launch applications. You have to do a hard reset",screen_display,screen_display,0.44858736656736375,yes,no,,device_screen_failure,0.9796491934893894,"Thanks for reaching out. Could you describe what is happening with the screen or touch response? Please also let us know your iPhone model and iOS version, and whether the issue happens consistently."
135,1710716,@AppleSupport ! ⍰ think ! ⍰ got it!,other,other,0.875259066712852,no,no,,,0.8752307125513814,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
168,559187,My phone keeps resetting itself as I use it. @AppleSupport explain.,device_performance,other,0.6608592571651852,yes,no,,repeated_device_failure,0.8948042033037916,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
184,1305199,@AppleSupport @424988 I also have iPhone 7 and the app is still down. 😟,apps,apps,0.9993024460214053,no,no,,,0.9459206277472171,"Thanks for reaching out. Which app is affected, and what happens when you try to use it? Please include any error message and, if possible, your iPhone model and iOS version."
64,1025588,@AppleSupport Your QA department should be well aware of the issues. I’m not paid to fix your broken stuff.,other,other,0.5939168220685963,no,no,,,0.19681075357613648,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
55,2432860,"@296998 @698207 @AppleSupport You can't do that on the X. No home button. What if the ""gesture control"" is also stuck since it's software (which did happen)?",device_performance,device_performance,0.5767689688694475,no,no,,,0.9827164312154453,"Thanks for reaching out. Could you tell us whether the iPhone is slow, freezing, crashing, or becoming unresponsive? Please also share your iPhone model and iOS version so we can narrow down the issue."
108,1789491,"#ios11 sudden battery drain means I can't use @36125 @6716 any more on #iphone6, it dies anything under 50 @AppleSupport - sort it!",battery_charging,battery_charging,0.9928658290694792,no,no,,,0.946654949665878,"Thanks for reaching out. Since the battery drain started after the iOS update, please check your Battery settings to see which apps or activity are using the most power. If the issue continues, let us know your iPhone model and iOS version so we can narrow down the issue."
51,1691813,"@AppleSupport Guys, 2 hours ago I did not load my Magic Mouse 2. Any recommendations? 🙃 https://t.co/18jC0L9Yjd",other,other,0.7542782042471423,no,no,,,0.9221733864842011,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
197,1851596,Hey @115858 and @AppleSupport - does chat even work? It's been 2mins for 30mins now. https://t.co/Vzm4fLd8GB,other,other,0.6349138817055054,yes,no,,unresolved_support_issue,0.7739370128603359,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
59,1003743,My phone freezes every 10 minutes and has to be reset thanks to this update. S/o @115858 @AppleSupport — top notch. https://t.co/VWqoC5RArN,device_performance,device_performance,0.9966010094564208,yes,yes,repeated_device_failure,repeated_update_related_failure,0.9327792837329855,Thanks for reaching out. We recommend contacting Apple Support directly because the issue may require additional support. They can take a closer look and provide the appropriate next steps.
49,1400575,Disappointed w @AppleSupport. Spent $700 on a new iPhone on #Blackfriday to get a $50 Apple gift card and now they won’t give it to me. 👩🏻‍💻,app_store_purchases,app_store_purchases,0.7687412128108766,yes,yes,purchase_or_compensation_issue,purchase_or_compensation_issue,0.9807078144656192,Thanks for reaching out. We recommend contacting Apple Support directly because the issue may require additional support. They can take a closer look and provide the appropriate next steps.
89,1924506,Like what is this??? @115858 @AppleSupport https://t.co/Gw8otGpqiV,other,other,0.898903277553995,no,no,,,0.7107900190183543,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
22,2035627,The Arabic/Urdu text is always cut off in the new iOS11 font 🤷🏻‍♂️ @115858 @AppleSupport,screen_display,ios_update,0.6274687739511944,no,no,,,0.9647309182476327,"Thanks for reaching out. Please let us know what happens when you try to install or use the iOS update, including any error message you see and your iPhone model. That will help us determine the appropriate next troubleshooting step."
58,2047537,@AppleSupport Atleast grant us Downgrade to ios 10.3.3 for a day or half if u really care about ur loyal Customers ! Just like Iphone 6s,ios_update,ios_update,0.46331030185882416,no,no,,,0.2952023806360224,"Thanks for reaching out. Please let us know what happens when you try to install or use the iOS update, including any error message you see and your iPhone model. That will help us determine the appropriate next troubleshooting step."
161,2071931,@AppleSupport But have you understood my video ?,other,other,0.7068599092330679,no,no,,,0.25054935536578704,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
193,1639283,@AppleSupport This has nothing to do with my issue.. https://t.co/WDxgOfwTiq,other,other,0.648804791278171,no,no,,,0.32782950891965595,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
130,122318,@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,battery_charging,battery_charging,0.6880889776427292,no,no,,,0.5578605729135899,"Thanks for reaching out. Since the battery drain started after the iOS update, please check your Battery settings to see which apps or activity are using the most power. If the issue continues, let us know your iPhone model and iOS version so we can narrow down the issue."
