id,relevance,groundedness,helpfulness,specificity,safety_escalation,overall_score,pass
176,2,4,2,1,2,2.2,False
184,5,5,4,5,5,4.8,True
2,4,4,3,3,5,3.8,False
15,2,4,1,1,3,2.2,False
197,2,4,1,1,2,2.0,False
177,2,4,1,1,3,2.2,False
122,2,4,1,1,3,2.2,False
168,1,5,1,1,2,2.0,False
194,3,3,2,3,3,2.8,False
18,2,1,2,1,3,1.8,False
89,1,5,1,1,3,2.2,False
93,5,4,4,5,5,4.6,True
135,1,5,1,1,3,2.2,False
200,1,5,1,1,3,2.2,False
60,5,5,5,5,5,5.0,True
182,5,5,4,5,5,4.8,True
172,5,4,4,4,5,4.4,True
38,2,5,1,1,3,2.4,False
103,2,3,2,2,3,2.4,False
161,1,5,1,1,3,2.2,False
